YEAR,QUARTER,CITY1,CITY2,PASSENGERS FROM CITY1 TO CITY2,PASSENGERS FROM CITY2 TO CITY1,FREIGHT FROM CITY1 TO CITY2,FREIGHT FROM CITY2 TO CITY1,
2015,Q1,ABUDHABI,AHMEDABAD,12764,15358,15.5,64.9,
2015,Q1,ABUDHABI,BENGALURU,27341,35988,372.5,442.1,
2015,Q1,ABUDHABI,CHENNAI,31756,32593,65.8,97.0,
2015,Q1,ABUDHABI,DELHI,66416,65956,1542.3,1683.5,
2015,Q1,ABUDHABI,GOA,8408,12593,18.8,0.0,
2015,Q1,ABUDHABI,HYDERABAD,37265,44645,197.1,562.2,
2015,Q1,ABUDHABI,JAIPUR,9437,10859,12.4,42.4,
2015,Q1,ABUDHABI,KOCHI,34055,41972,33.1,273.9,
2015,Q1,ABUDHABI,KOLKATA,1580,1799,0.5,14.5,
2015,Q1,ABUDHABI,KOZHIKODE,31618,41032,7.7,480.5,
2015,Q1,ABUDHABI,LUCKNOW,12961,13549,0.4,113.6,
2015,Q1,ABUDHABI,MANGALORE,2813,3654,0.0,1.0,
2015,Q1,ABUDHABI,MUMBAI,65961,80696,1118.2,1940.8,
2015,Q1,ABUDHABI,PUNE,161,415,0.0,0.0,
2015,Q1,ABUDHABI,TRIVANDRUM,21249,26012,9.4,225.9,
2015,Q1,ADDIS ABABA,CHENNAI,0,0,0.0,92.1,
2015,Q1,ADDIS ABABA,DELHI,10849,12192,38.3,37.4,
2015,Q1,ADDIS ABABA,MUMBAI,16326,20996,116.0,2622.9,
2015,Q1,ADEN,MUMBAI,3299,2199,0.0,31.8,
2015,Q1,AL AIN,KOZHIKODE,1574,1945,0.0,0.0,
2015,Q1,ALMATY,DELHI,6582,8318,5.7,84.5,
2015,Q1,AMSTERDAM,CHENNAI,0,0,1384.7,899.6,
2015,Q1,AMSTERDAM,DELHI,42570,47771,661.1,1540.1,
2015,Q1,AMSTERDAM,MUMBAI,22640,23140,950.2,1978.6,
2015,Q1,ASHGABAT,AMRITSAR,11182,10023,0.0,14.9,
2015,Q1,ASHGABAT,DELHI,2540,2374,0.0,29.4,
2015,Q1,BAHRAIN,BENGALURU,0,0,1.0,0.0,
2015,Q1,BAHRAIN,CHENNAI,15610,17569,6.4,180.3,
2015,Q1,BAHRAIN,DELHI,31214,32057,80.8,444.5,
2015,Q1,BAHRAIN,HYDERABAD,7687,9198,0.4,0.1,
2015,Q1,BAHRAIN,KOCHI,13940,15684,45.2,205.5,
2015,Q1,BAHRAIN,KOZHIKODE,4044,6161,0.0,0.0,
2015,Q1,BAHRAIN,MANGALORE,1863,3030,0.0,0.0,
2015,Q1,BAHRAIN,MUMBAI,27815,36746,446.6,821.7,
2015,Q1,BAHRAIN,TRIVANDRUM,11914,13082,5.2,257.4,
2015,Q1,BANGKOK,AHMEDABAD,2249,0,0.0,0.0,
2015,Q1,BANGKOK,BENGALURU,21342,22777,1067.3,1162.1,
2015,Q1,BANGKOK,CHENNAI,17876,19926,1113.7,1404.5,
2015,Q1,BANGKOK,DELHI,83219,87007,2165.1,1202.7,
2015,Q1,BANGKOK,GAYA,6254,4119,0.0,0.0,
2015,Q1,BANGKOK,HYDERABAD,11836,14140,308.0,557.7,
2015,Q1,BANGKOK,KOLKATA,65213,64024,1028.2,1038.7,
2015,Q1,BANGKOK,MUMBAI,90096,94099,3127.2,1925.7,
2015,Q1,BANGKOK,VARANASI,1283,3654,0.0,0.0,
2015,Q1,BIRMINGHAM,AMRITSAR,6260,4876,0.0,0.0,
2015,Q1,BIRMINGHAM,DELHI,11962,12024,93.8,108.4,
2015,Q1,BISHKEK,DELHI,609,818,0.0,131.2,
2015,Q1,BRUSELLS,DELHI,9010,11692,643.9,620.8,
2015,Q1,BRUSELLS,MUMBAI,12256,13480,844.0,520.6,
2015,Q1,CAIRO,MUMBAI,2427,3529,29.1,31.5,
2015,Q1,CHICAGO,DELHI,16671,20207,485.5,373.2,
2015,Q1,CHICAGO,HYDERABAD,4150,5116,0.0,0.0,
2015,Q1,CHITTAGONG,KOLKATA,5861,6001,0.0,0.0,
2015,Q1,COLOGNE,MUMBAI,0,0,37.3,1230.4,
2015,Q1,COLOMBO,BENGALURU,16087,16997,934.4,1202.3,
2015,Q1,COLOMBO,CHENNAI,77904,81321,1092.3,2003.1,
2015,Q1,COLOMBO,DELHI,11067,11515,104.1,186.5,
2015,Q1,COLOMBO,GAYA,1333,950,0.0,0.0,
2015,Q1,COLOMBO,KOCHI,17116,20771,120.9,487.7,
2015,Q1,COLOMBO,MADURAI,14295,14441,0.0,0.0,
2015,Q1,COLOMBO,MUMBAI,35501,37469,370.6,351.2,
2015,Q1,COLOMBO,TIRUCHIRAPALLY,21806,23883,4.0,399.9,
2015,Q1,COLOMBO,TRIVANDRUM,11945,10793,9.9,240.5,
2015,Q1,COLOMBO,VARANASI,1418,1362,0.0,0.0,
2015,Q1,DAMMAM,BENGALURU,386,466,0.0,72.1,
2015,Q1,DAMMAM,CHENNAI,777,674,25.3,52.0,
2015,Q1,DAMMAM,DELHI,27388,31116,101.2,155.0,
2015,Q1,DAMMAM,HYDERABAD,4458,3818,0.0,3.0,
2015,Q1,DAMMAM,KOCHI,9664,10774,28.9,302.1,
2015,Q1,DAMMAM,KOZHIKODE,12294,14095,0.1,184.2,
2015,Q1,DAMMAM,MANGALORE,3885,4232,0.0,0.0,
2015,Q1,DAMMAM,MUMBAI,17995,20836,37.2,358.9,
2015,Q1,DAMMAM,TRIVANDRUM,13432,14047,2.9,183.1,
2015,Q1,DHAKA,CHENNAI,4046,3127,14.6,123.9,
