year,quarter,country_name,passengers_to_india,passengers_from_india,freight_to_india,freight_from_india
2015,1,AFGHANISTAN,37194,32721,96.7,676.4
2015,1,AUSTRALIA,16676,19075,89.7,423.7
2015,1,AUSTRIA,13318,15529,563.8,707
2015,1,BAHRAIN,114087,133527,585.7,1909.5
2015,1,BANGLADESH,76357,75673,624.1,1052.9
2015,1,BELGIUM,21266,25172,1487.9,1141.3
2015,1,BHUTAN,6251,6424,0.9,8
2015,1,BURMA,9540,9192,0.6,9.2
2015,1,CANADA,13272,12611,82.5,85
2015,1,CHINA,53072,60558,3212.2,2092.6
2015,1,EGYPT,2427,3529,29.1,31.5
2015,1,ETHIOPIA,27175,33188,154.3,2752.4
2015,1,FINLAND,13673,15886,685.9,1125.4
2015,1,FRANCE,88632,97306,4419.6,5674.5
2015,1,GEORGIA,0,0,0,0
2015,1,GERMANY,160772,169641,11834.6,13570.4
2015,1,HONG KONG,150400,162576,19278.2,22273
2015,1,IRAN,9521,8323,25,485.7
2015,1,IRAQ,0,0,0,0
2015,1,ISRAEL,8664,9773,269.7,392.5
2015,1,ITALY,14727,21846,245.6,394.4
2015,1,JAPAN,37817,42445,1871.4,2218.3
2015,1,JORDAN,0,0,0,0
2015,1,KAZAKHSTAN,6582,8318,5.7,84.5
2015,1,KENYA,23830,30259,74,1234.3
2015,1,KOREA,20089,23732,947.2,514.3
2015,1,KUWAIT,93178,109403,1464.8,2551.8
2015,1,KYRGYZSTAN,609,818,0,131.2
2015,1,MALAYSIA,232818,255028,3640.3,4974.1
2015,1,MALDIVES,27191,32820,19.6,428.3
2015,1,MAURITIUS,19313,20599,57.9,683.1
2015,1,NEPAL,121569,122260,350.5,258.1
2015,1,NETHERLANDS,65210,70911,2996,4418.3
2015,1,OMAN,269011,306957,512.6,3350.6
2015,1,PAKISTAN,3629,6879,32.7,104.5
2015,1,QATAR,287107,328608,8975.9,16931.4
2015,1,REUNION,0,0,0,0
2015,1,RUSSIA,34593,42764,142.5,1160.5
2015,1,SAUDI ARABIA,381111,434124,1933.1,10542.1
2015,1,SEYCHELLES,3374,3690,0.8,3.5
2015,1,SINGAPORE,390386,449017,9757.4,11147.7
2015,1,SOUTH AFRICA,8483,11916,52.6,644.2
2015,1,SRI LANKA,208472,219502,2636.3,4871.1
2015,1,SWITZERLAND,32499,38773,2176.7,2868.7
2015,1,TAIWAN,2595,6650,214.3,68.6
2015,1,TAJIKISTAN,554,492,0,11.2
2015,1,THAILAND,299368,309746,8809.5,7291.4
2015,1,TURKEY,48881,52647,1692.1,2993.9
2015,1,TURKMENISTAN,13722,12397,0,44.3
2015,1,UNITED ARAB EMIRATES,1856057,2085164,21927.4,61610.4
2015,1,UNITED KINGDOM,279656,311898,10483.9,14570.8
2015,1,UNITED STATES,89464,105233,1449.1,1449.3
2015,1,UZBEKISTAN,10220,12720,468.3,1593.3
2015,1,VIETNAM,977,943,0.7,51.6
2015,1,YEMEN,6841,7102,2.2,151.5
2015,2,AFGHANISTAN,26708,30315,118,507
2015,2,AUSTRALIA,13117,17522,120.3,360.3
2015,2,AUSTRIA,10481,16315,518.2,665.8
2015,2,BAHRAIN,131510,134465,675.9,2292
2015,2,BANGLADESH,66500,75791,660.2,1447.1
2015,2,BELGIUM,18593,23206,1404.2,1336.3
2015,2,BHUTAN,12345,11908,0.9,15.4
2015,2,BURMA,3688,4361,0.4,9.9
2015,2,CANADA,9404,13262,73.9,75
2015,2,CHINA,55533,60929,4002.3,2029.3
2015,2,EGYPT,3365,4446,70.7,49.3
2015,2,ETHIOPIA,6658,7829,25.8,526.9
2015,2,FINLAND,6725,9884,472.2,645.4
2015,2,FRANCE,73737,83050,4038.9,5305.2
2015,2,GEORGIA,0,0,0,0
2015,2,GERMANY,140655,173279,12445.5,13711.3
2015,2,HONG KONG,200874,209340,27121,14777.1
2015,2,IRAN,7903,7524,20,464.5
2015,2,IRAQ,0,842,0,0
2015,2,ISRAEL,5693,6692,182.7,310.1
2015,2,ITALY,13999,19602,182.1,312.5
2015,2,JAPAN,25353,36720,2438.2,2168
2015,2,JORDAN,0,0,0,0
2015,2,KAZAKHSTAN,4667,5324,4.9,85
2015,2,KENYA,19277,24593,39.2,721
2015,2,KOREA,14260,17575,260.8,575.1
2015,2,KUWAIT,113576,123248,909.7,3581.3
2015,2,KYRGYZSTAN,1918,1410,0.5,336.4
2015,2,MALAYSIA,262200,258717,4136.2,5084.6
2015,2,MALDIVES,22494,24872,4.8,333.5
2015,2,MAURITIUS,22918,25767,78.7,894.9
2015,2,NEPAL,97838,89824,246.5,518.3
2015,2,NETHERLANDS,17994,20711,577.9,1592.7
2015,2,OMAN,299995,318252,506.5,3541.1
2015,2,PAKISTAN,3077,6919,18.9,96.3
2015,2,QATAR,323093,333736,10918.5,19480.6
2015,2,REUNION,208,181,0,1
2015,2,RUSSIA,23939,32816,185.8,1390.3
2015,2,SAUDI ARABIA,385801,401634,1764.3,13585.6
2015,2,SEYCHELLES,3965,4175,1.7,12.4
2015,2,SINGAPORE,422871,440309,10402.3,12212.2
2015,2,SOUTH AFRICA,0,0,0,0
2015,2,SRI LANKA,233186,234198,1824.7,4659.3
2015,2,SWITZERLAND,32344,40921,2122.7,2772.8
2015,2,TAIWAN,1288,7417,261.8,148.6
2015,2,TAJIKISTAN,2600,381,0,8
2015,2,THAILAND,308994,313587,8908.1,6083.9
2015,2,TURKEY,45687,53232,2163.5,3255.8
2015,2,TURKMENISTAN,5572,9682,0,28
2015,2,UNITED ARAB EMIRATES*,2005922,2067897,24560.5,64074.4
2015,2,UNITED KINGDOM,271143,358553,12128.3,18945
2015,2,UNITED STATES,83597,99176,1263.9,1595.9
2015,2,UZBEKISTAN,12503,12985,878.4,2010.1
2015,2,VIETNAM,1196,687,0,81.9
2015,2,YEMEN,0,318,0,0
2015,3,AFGHANISTAN,27081,20488,103.3,520.7
2015,3,AUSTRALIA,15141,19595,306.5,291.7
2015,3,AUSTRIA,14994,16733,514,732.1
2015,3,BAHRAIN,118138,128285,193.7,2396.7
2015,3,BANGLADESH,73625,79360,640,827.6
2015,3,BELGIUM,22725,22683,1207.3,1273.1
2015,3,BHUTAN,6868,6799,1,14
2015,3,BURMA,2339,2069,0.2,14.2
2015,3,CANADA,11480,12780,85.5,40.6
2015,3,CHINA,56476,54610,3669.8,1736.3
2015,3,EGYPT,3702,4169,2.4,20.9
2015,3,ETHIOPIA,17530,17302,49,2326.5
2015,3,FINLAND,8242,8386,415.5,580.4
2015,3,FRANCE,67002,70492,3474,3625.1
2015,3,GEORGIA,0,0,0,0
2015,3,GERMANY,159881,172112,12033.4,12588.3
2015,3,HONG KONG,159333,156002,35914.1,14446.1
2015,3,IRAN,5583,7183,37.2,325.3
2015,3,IRAQ,2586,2226,0,0
2015,3,ISRAEL,6874,6663,173,310.7
2015,3,ITALY,18448,22207,208.9,244.5
2015,3,JAPAN,29537,31871,2216.6,1535.4
2015,3,JORDAN,0,0,0,0
2015,3,KAZAKHSTAN,7241,7197,2.8,115.4
2015,3,KENYA,26330,21624,579.9,265.5
2015,3,KOREA,17742,18185,651.9,391.8
2015,3,KUWAIT,112137,118065,513.2,3321.6
2015,3,KYRGYZSTAN,1993,3007,4.2,51.4
2015,3,MALAYSIA,230478,230706,3941,4917
2015,3,MALDIVES,22003,22289,5.5,458.9
2015,3,MAURITIUS,18044,17690,90.5,648.2
2015,3,NEPAL,73142,77803,181.6,408.4
2015,3,NETHERLANDS,13576,14505,701.2,1483.8
2015,3,OMAN,284579,323230,520.5,3541.5
2015,3,PAKISTAN,2958,6038,21.7,87.7
2015,3,QATAR,324276,332816,11448.7,20567.6
2015,3,REUNION,470,311,0,1.6
2015,3,RUSSIA,29120,31931,240.8,1077.2
2015,3,SAUDI ARABIA,361686,370282,1315.2,11315.3
2015,3,SEYCHELLES,5377,5068,0.4,8.4
2015,3,SINGAPORE,378166,393643,12962.5,12355.2
2015,3,SOUTH AFRICA,0,0,0,0
2015,3,SRI LANKA,237901,250331,2355.4,4754.8
2015,3,SWITZERLAND,34218,38107,2466,2615.3
2015,3,TAIWAN,1472,7804,283.4,148.5
2015,3,TAJIKISTAN,541,786,3.3,6.7
2015,3,THAILAND,293122,301671,10092.5,5899.6
2015,3,TURKEY,49767,51353,2409.7,3016.7
2015,3,TURKMENISTAN,10178,9808,1.2,77.4
2015,3,UNITED ARAB EMIRATES*,1917438,2080672,22416.6,63446.1
2015,3,UNITED KINGDOM,319070,342803,12398,16947.9
2015,3,UNITED STATES,94023,110012,1217.5,1404
2015,3,UZBEKISTAN,14620,12925,2570.1,2183.6
2015,3,VIETNAM,1828,1081,0.4,49.8
2015,3,YEMEN,21,725,0,1.3
2015,4,AFGHANISTAN,24290,18712,276.1,755.5
2015,4,AUSTRALIA,18058,19300,150.8,402.4
2015,4,AUSTRIA,15418,11621,431.5,624.4
2015,4,BAHRAIN,134988,122700,223.3,2183.7
2015,4,BANGLADESH,82047,86946,681.6,805.4
2015,4,BELGIUM,24329,20865,1322,1289.5
2015,4,BHUTAN,11121,9721,1,16.8
2015,4,BURMA,7124,6714,0.3,22.1
2015,4,CANADA,22728,21274,1280.5,450
2015,4,CHINA,81441,76567,3884,1894.2
2015,4,EGYPT,3785,3927,9.6,18.7
2015,4,ETHIOPIA,11556,10156,16.4,56.3
2015,4,FINLAND,13101,10225,379.8,663.4
2015,4,FRANCE,99652,84795,7478.8,4854
2015,4,GEORGIA,0,0,0,0
2015,4,GERMANY,152669,117587,11870.9,15999.5
2015,4,HONG KONG,189918,187735,26921.9,14940.5
2015,4,IRAN,9165,9184,76.1,274.7
2015,4,IRAQ,0,377,0,1.3
2015,4,ISRAEL,8293,7936,196,311.7
2015,4,ITALY,18065,13702,168.8,228.9
2015,4,JAPAN,35721,33141,2058.8,1310.9
2015,4,JORDAN,0,0,0,0
2015,4,KAZAKHSTAN,8448,7929,4.5,118.7
2015,4,KENYA,23814,24603,251,512
2015,4,KOREA,21144,18702,338.8,1152.7
2015,4,KUWAIT,118033,115631,829.8,3185
2015,4,KYRGYZSTAN,2338,2003,15,33.5
2015,4,MALAYSIA,258651,235616,2579.1,3481.2
2015,4,MALDIVES,36811,35185,5.4,534.6
2015,4,MAURITIUS,22285,22026,50,601
2015,4,NEPAL,100054,88824,129.4,347.8
2015,4,NETHERLANDS,32142,30197,589.6,1282.9
2015,4,OMAN,322076,315539,726.3,3355.2
2015,4,PAKISTAN,3478,5674,13.3,91.4
2015,4,QATAR,425728,401387,14247.6,25598.2
2015,4,REUNION,457,445,0,5.7
2015,4,RUSSIA,29382,24457,195.2,720.8
2015,4,SAUDI ARABIA,380930,378881,1619.3,12292.7
2015,4,SEYCHELLES,5903,5165,0.3,8
2015,4,SINGAPORE,447714,415510,14574.5,13707.3
2015,4,SOUTH AFRICA,0,0,0,0
2015,4,SRI LANKA,240874,250335,2461.5,3688
2015,4,SWITZERLAND,36659,34928,2307.9,2644.6
2015,4,TAIWAN,4858,6691,319.3,188.7
2015,4,TAJIKISTAN,558,384,0,7.3
2015,4,THAILAND,359590,337833,10229.8,5880.7
2015,4,TURKEY,36867,31637,1561.9,1282.4
2015,4,TURKMENISTAN,12147,9168,0.6,54.7
2015,4,UNITED ARAB EMIRATES*,2133864,2115129,21698.9,108131.4
2015,4,UNITED KINGDOM,339201,258246,10486.9,15113.7
2015,4,UNITED STATES,98269,82713,1179.6,1201.2
2015,4,UZBEKISTAN,13289,11689,1128.6,1503.9
2015,4,VIETNAM,2267,1643,1.7,49.4
2015,4,YEMEN,44,374,0,2.3
2016,1,AFGHANISTAN,39719,38601,200.3,1409.5
2016,1,AUSTRALIA,16981,20040,109.5,328.7
2016,1,AUSTRIA,10892,13463,453.9,588.4
2016,1,BAHRAIN,131984,143946,217.1,2148.7
2016,1,BANGLADESH,83989,89379,656.9,771.3
2016,1,BELGIUM,18265,20635,1149,930.9
2016,1,BHUTAN,9083,9821,3.9,15.9
2016,1,BURMA,9006,9252,0.9,28.8
2016,1,CANADA,28745,29291,867.2,522.9
2016,1,CHINA,74935,78472,3253.2,2069.8
2016,1,EGYPT,3328,3932,17.2,12.5
2016,1,ETHIOPIA,17222,18439,370,1241.1
2016,1,FINLAND,13214,14747,474.4,937.6
2016,1,FRANCE,97136,100758,5108,4674.4
2016,1,GEORGIA,0,0,0,0
2016,1,GERMANY,158643,173794,12322,15096.1
2016,1,HONG KONG,162482,176957,22901.4,15207.1
2016,1,IRAN,10990,9990,25.6,221.5
2016,1,IRAQ,993,986,0,0
2016,1,ISRAEL,7683,8489,188.7,333.2
2016,1,ITALY,15948,21316,317.4,340.9
2016,1,JAPAN,39045,45569,2123.4,2551.6
2016,1,JORDAN,0,0,0,0
2016,1,KAZAKHSTAN,9072,10674,3.1,57.8
2016,1,KENYA,20720,26766,33.2,477.1
2016,1,KOREA,19239,20843,339.1,527.9
2016,1,KUWAIT,104000,121018,459.1,3587.6
2016,1,KYRGYZSTAN,1342,1536,0,35.8
2016,1,MALAYSIA,272751,285941,2482.6,3354.3
2016,1,MALDIVES,31078,36909,3.3,529.8
2016,1,MAURITIUS,21752,23870,62.9,611
2016,1,NEPAL,97289,90284,92.1,418.8
2016,1,NETHERLANDS,29053,31939,518.9,877.8
2016,1,OMAN,358660,357560,556.4,5162.7
2016,1,PAKISTAN,2565,6194,8.1,54.4
2016,1,QATAR,315745,367570,11982.2,22733
2016,1,REUNION,691,642,0,6.3
2016,1,RUSSIA,22177,28063,337.7,567.7
2016,1,SAUDI ARABIA,387154,425966,1278.5,11911.4
2016,1,SEYCHELLES,6332,6340,0.4,6.1
2016,1,SINGAPORE,403094,481999,13706.3,13930.4
2016,1,SOUTH AFRICA,0,0,0,0
2016,1,SRI LANKA,251780,264511,2786.2,6478.8
2016,1,SWITZERLAND,31702,38756,2306.4,2481.9
2016,1,TAIWAN,4218,9632,255.7,254.3
2016,1,TAJIKISTAN,848,751,0,13.7
2016,1,THAILAND,332072,345166,9611.4,6409.4
2016,1,TURKEY,51627,55897,3636.3,4554.8
2016,1,TURKMENISTAN,13210,11947,0.3,50.9
2016,1,UNITED ARAB EMIRATES*,2138916,2277408,19852.8,60252.1
2016,1,UNITED KINGDOM,330255,357118,11071,17278.3
2016,1,UNITED STATES,122017,143470,1220.8,1807.9
2016,1,UZBEKISTAN,11584,12522,861.4,1923.8
2016,1,VIETNAM,2245,1902,0,45.9
2016,1,YEMEN,59,217,0,3.3
2016,2,AFGHANISTAN,22483,27131,208.4,1166.2
2016,2,AUSTRALIA,15797,19323,51.3,210.1
2016,2,AUSTRIA,6363,8275,125.8,87.5
2016,2,BAHRAIN,141578,135486,247.3,2284.2
2016,2,BANGLADESH,82053,87300,765.9,1634.3
2016,2,BELGIUM,0,0,0,0
2016,2,BHUTAN,15185,15796,0.7,20.5
2016,2,BURMA,3203,4256,0.1,8.6
2016,2,CANADA,21579,29078,187.3,358.8
2016,2,CHINA,69607,79646,3483.5,2129.7
2016,2,EGYPT,3542,4392,2.4,25.1
2016,2,ETHIOPIA,41304,46545,399.7,3601
2016,2,FINLAND,6825,9313,399.9,603.7
2016,2,FRANCE,69553,76939,4141.7,3819.2
2016,2,GEORGIA,0,0,0,0
2016,2,GERMANY,148526,179038,12045.7,15227.1
