,IATA,clustering,in_degree,out_degree,degree_centrality,closeness,betweeness,pr,hits_hubs,hits_auth
CCU,CCU,0.23948948948948948,0.01103489412466448,0.01103489412466448,0.02161214953271028,0.29836269798896603,0.004037223260321947,0.0010414002639923146,0.00044601861653560687,0.0004444718815910611
DEL,DEL,0.1875436241610738,0.028929317029525798,0.028929317029525798,0.05665887850467289,0.3485084710529051,0.015451974253388458,0.0023584628185318503,0.0024522551443017333,0.002444225422881305
AMD,AMD,0.7026143790849673,0.0053683268714583956,0.0053683268714583956,0.010514018691588784,0.2932738563806525,2.2357597086452315e-05,0.0003874209009928221,0.00041462102803375327,0.00041550457987932416
BLR,BLR,0.3740625,0.012227855651655234,0.011929615269907545,0.023656542056074766,0.3158142601488179,0.002234317240367632,0.0009517676685986347,0.0009106676225844371,0.0009242925527381857
BOM,BOM,0.2020446096654275,0.02445571130331047,0.02475395168505816,0.04818925233644859,0.3329030976965846,0.010391051681045822,0.0021241170996310183,0.001890043776088612,0.0018771079713944796
GOI,GOI,0.7878787878787878,0.003578884580972264,0.003578884580972264,0.007009345794392522,0.2917427999651962,3.139503574926865e-05,0.0002714076689752704,0.00032430342034123807,0.0003232198223312108
HYD,HYD,0.4153225806451613,0.009543692215926037,0.009543692215926037,0.018691588785046728,0.30545686435273756,0.0017214693191849233,0.0007648660475811689,0.0006509792575876167,0.0006498953147242205
JAI,JAI,0.9027777777777778,0.0026841634357291978,0.0026841634357291978,0.005257009345794392,0.271607938436614,9.985760319527516e-07,0.00022169322565399692,0.0001757917212526902,0.0001756517489665523
MAA,MAA,0.433389544688027,0.011333134506412169,0.011929615269907545,0.0227803738317757,0.3124010062424299,0.001703823042569407,0.000847458853921196,0.000874621537185458,0.0008613526754240658
PNQ,PNQ,0.7222222222222222,0.0038771249627199524,0.003578884580972264,0.007301401869158878,0.29440688383527963,2.2524048762924013e-05,0.00030125964388551837,0.00013875196602425823,0.00025430522265859563
BBI,BBI,0.875,0.001789442290486132,0.0020876826722338207,0.0037967289719626164,0.26056885296860427,6.402722924675387e-06,0.00017637029440399556,9.400278614579659e-05,9.34367181567115e-05
VTZ,VTZ,0.875,0.0026841634357291978,0.0023859230539815092,0.004964953271028037,0.27136613790870834,5.866605403863412e-06,0.0002320752753977378,0.00014084634357974446,0.00014187138025884466
BDQ,BDQ,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.2597815139071821,0.0,8.716656781154118e-05,6.247356125536419e-05,6.250839461143293e-05
COK,COK,0.696969696969697,0.006561288398449151,0.006561288398449151,0.012850467289719626,0.293762046609427,0.0006162402336618332,0.0004920176048019431,0.0004932036178030952,0.000492808148237303
GAU,GAU,0.3560606060606061,0.003578884580972264,0.003578884580972264,0.007009345794392522,0.2714320407998057,0.00040935758772419673,0.00040578056848823534,0.00012930558346772498,0.00012854090822385044
LKO,LKO,0.6527777777777778,0.0026841634357291978,0.0026841634357291978,0.005257009345794392,0.28516754550093554,3.809299610425335e-05,0.0002497278256315162,0.00022903692082696227,0.0002298233251876132
NAG,NAG,0.8163265306122449,0.0020876826722338207,0.0023859230539815092,0.004380841121495327,0.26337286937396903,2.041389400350033e-06,0.00019337767598524014,0.00010250290657184083,9.998670963101149e-05
TRV,TRV,0.7610294117647058,0.0050700864897107074,0.0050700864897107074,0.009929906542056074,0.2929663608562691,0.0005922232378748977,0.00038575937252573764,0.00041411456158988905,0.0004151621275389458
CJB,CJB,0.8571428571428571,0.0023859230539815092,0.0023859230539815092,0.004672897196261682,0.27317907772527295,2.33565166794967e-06,0.00019970095987247008,0.0001524885093139294,0.00015310981105062075
IDR,IDR,0.8333333333333334,0.0020876826722338207,0.0020876826722338207,0.0040887850467289715,0.2600031017369727,2.2551467643458027e-07,0.0001909393552951915,9.152597618347638e-05,8.965009197877407e-05
IXC,IXC,1.0,0.000894721145243066,0.000894721145243066,0.0017523364485981306,0.2598016426468309,0.0,0.00011739827249049588,6.344281156422344e-05,6.347343969741238e-05
IXJ,IXJ,0.8333333333333334,0.0011929615269907546,0.0011929615269907546,0.002336448598130841,0.2598217745060054,1.0170504653914793e-06,0.00015377515869491505,6.398042204124636e-05,6.400938603588401e-05
PAT,PAT,0.71875,0.0014912019087384432,0.0011929615269907546,0.002628504672897196,0.2604271844660194,7.768831000045391e-07,0.00016099606187064885,4.569716043552527e-05,7.32330367190786e-05
SXR,SXR,0.6,0.001789442290486132,0.001789442290486132,0.003504672897196261,0.25986204758583276,1.3729459090044726e-06,0.0002132764206540675,6.703922346787582e-05,6.704362041992628e-05
DIB,DIB,0.6666666666666666,0.0011929615269907546,0.000894721145243066,0.0020443925233644858,0.25917909870912886,1.603072927689542e-05,0.00016759419575444572,8.378617302497139e-06,4.368429420001272e-05
IMF,IMF,0.7,0.0014912019087384432,0.0014912019087384432,0.0029205607476635513,0.2298779651720828,1.779477218064968e-07,0.0002110184213537526,8.648647053778212e-06,8.645074511314434e-06
IXA,IXA,1.0,0.000894721145243066,0.000894721145243066,0.0017523364485981306,0.2298464491362764,0.0,0.00013340542563584023,8.409033717413222e-06,8.406423840358991e-06
IXB,IXB,0.8,0.0014912019087384432,0.0014912019087384432,0.0029205607476635513,0.2708838261431572,1.2968860903919705e-05,0.00016709612974788075,8.826770064423606e-05,8.820651004185008e-05
IXR,IXR,0.9444444444444444,0.000894721145243066,0.0011929615269907546,0.0020443925233644858,0.2591590663162776,3.7368768826051857e-07,0.00012358766745218806,6.995802657551156e-05,4.237914050732273e-05
RPR,RPR,0.7671232876712328,0.001789442290486132,0.0020876826722338207,0.0037967289719626164,0.26052836052836054,7.811150713460998e-07,0.00017520694342884055,8.256281416670241e-05,8.109302258213618e-05
VNS,VNS,0.6463414634146342,0.0014912019087384432,0.0014912019087384432,0.0029205607476635513,0.2607512248230811,0.0003042910278777154,0.00021470265049105736,7.882416728502808e-05,7.840456385733869e-05
AJL,AJL,1.0,0.000894721145243066,0.000894721145243066,0.0017523364485981306,0.2298464491362764,0.0,0.00013340542563584023,8.409033717413222e-06,8.406423840358991e-06
ATQ,ATQ,0.4666666666666667,0.001789442290486132,0.001789442290486132,0.003504672897196261,0.27724491483380187,6.999024363024245e-06,0.00016775365961577563,0.00015039652217336527,0.00015113990888699535
CCJ,CCJ,0.6743119266055045,0.0047718461079630185,0.0053683268714583956,0.009929906542056074,0.28813268024404914,0.00028205455665083654,0.0003562478273932693,0.0003867304924932324,0.0003681632735463718
BHJ,BHJ,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.24977651966626938,0.0,6.648835273824075e-05,2.713736921784039e-05,2.7207616139343914e-05
BHO,BHO,1.0,0.000894721145243066,0.0005964807634953773,0.0014602803738317756,0.2598016426468309,0.0,0.00010845619535125521,6.247356125536419e-05,6.36969053664013e-05
BHU,BHU,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.24977651966626938,0.0,6.648835273824075e-05,2.713736921784039e-05,2.7207616139343914e-05
IXE,IXE,0.905,0.0023859230539815092,0.0020876826722338207,0.004380841121495327,0.28355179704016914,2.2961967269165956e-07,0.0001897384304433539,0.00024022201238421375,0.00018559351414130715
DIU,DIU,0.5,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.24979512776577517,0.00029824038174768865,6.648835273824075e-05,1.535441461310059e-128,2.7207616139343914e-05
IXU,IXU,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.2597815139071821,0.0,8.716656781154118e-05,6.247356125536419e-05,6.250839461143293e-05
JDH,JDH,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.2597815139071821,0.0,8.716656781154118e-05,6.247356125536419e-05,6.250839461143293e-05
RAJ,RAJ,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.24977651966626938,0.0,6.648835273824075e-05,2.713736921784039e-05,2.7207616139343914e-05
UDR,UDR,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.2597815139071821,0.0,8.716656781154118e-05,6.247356125536419e-05,6.250839461143293e-05
IXS,IXS,1.0,0.000894721145243066,0.000894721145243066,0.0017523364485981306,0.2298464491362764,0.0,0.00013340542563584023,8.409033717413222e-06,8.406423840358991e-06
IXZ,IXZ,0.8461538461538461,0.000894721145243066,0.000894721145243066,0.0017523364485981306,0.2395171083648832,1.191990601385059e-07,0.00010812573250564591,5.4214511067364636e-05,2.0364111439760188e-05
DED,DED,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.25847980265186554,0.0,8.899725070838908e-05,3.8658750209739533e-05,3.8597817780083014e-05
GOP,GOP,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.25845987820858707,0.0,6.540093421462422e-05,3.533619203752379e-05,3.530077847208902e-05
IXL,IXL,1.0,0.000894721145243066,0.000894721145243066,0.0017523364485981306,0.25849973016729627,0.0,0.0001283254512995152,3.7230826697594686e-05,3.718683649192804e-05
PBD,PBD,0.5,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.19989269106951235,0.0002982403817476886,0.0001012465091352911,2.713736921784039e-05,1.062073992323441e-126
RJA,RJA,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.2340009770395701,0.0,6.505308891635365e-05,9.395543238524452e-06,9.370996576515765e-06
IXM,IXM,0.6666666666666666,0.000894721145243066,0.000894721145243066,0.0017523364485981306,0.24681634155318366,1.970135491429072e-07,0.00010262754772493965,4.017919728006637e-05,4.0153515755753365e-05
TRZ,TRZ,1.0,0.0011929615269907546,0.0011929615269907546,0.002336448598130841,0.2610151019772692,0.0,0.00012202930636266196,9.263634603315054e-05,9.26477122726283e-05
AGR,AGR,0.5,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.24981373863805692,0.00029824038174768865,0.00010300769535264464,2.7143018005540127e-05,2.8342308210044794e-05
HJR,HJR,0.5,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.19990460859715017,4.44869304516242e-08,8.852731789904701e-05,1.1334955847956406e-06,3.907300053579009e-07
AGX,AGX,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.227075714479209,0.0,6.374871316479244e-05,7.124532459547811e-06,7.099779847154677e-06
GWL,GWL,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.24977651966626938,0.0,6.648835273824075e-05,2.713736921784039e-05,2.7207616139343914e-05
IXD,IXD,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.2597815139071821,0.0,8.716656781154118e-05,6.247356125536419e-05,6.250839461143293e-05
JGA,JGA,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.24977651966626938,0.0,6.648835273824075e-05,2.713736921784039e-05,2.7207616139343914e-05
DMU,DMU,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.22983069435876347,0.0,0.00011621023107038226,7.057278846123135e-06,6.541152998440369e-06
SHL,SHL,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.22981494174091843,0.0,6.867500997367545e-05,6.425734556294226e-06,6.4205408696469186e-06
DHM,DHM,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.25845987820858707,0.0,6.540093421462422e-05,3.533619203752379e-05,3.530077847208902e-05
JLR,JLR,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.2597815139071821,0.0,8.716656781154118e-05,6.247356125536419e-05,6.250839461143293e-05
KNU,KNU,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.25845987820858707,0.0,6.540093421462422e-05,3.533619203752379e-05,3.530077847208902e-05
KUU,KUU,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.25845987820858707,0.0,6.540093421462422e-05,3.533619203752379e-05,3.530077847208902e-05
LUH,LUH,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.25845987820858707,0.0,6.540093421462422e-05,3.533619203752379e-05,3.530077847208902e-05
STV,STV,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.2597815139071821,0.0,8.716656781154118e-05,6.247356125536419e-05,6.250839461143293e-05
TIR,TIR,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.2340009770395701,0.0,6.505308891635365e-05,9.395543238524452e-06,9.370996576515765e-06
VGA,VGA,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.24011744485820682,0.0,8.529519934099806e-05,2.2758050164709746e-05,2.2480267070306176e-05
HBX,HBX,1.0,0.0005964807634953773,0.0005964807634953773,0.0011682242990654205,0.2498509687034277,0.0,8.673046316288515e-05,4.049987614402569e-05,4.031688663313433e-05
IXG,IXG,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.24003149831770348,0.0,6.49648295659682e-05,1.3362506926185294e-05,1.3109270493790411e-05
MYQ,MYQ,0.0,0.00029824038174768865,0.00029824038174768865,0.0005841121495327102,0.24003149831770348,0.0,6.49648295659682e-05,1.3362506926185294e-05,1.3109270493790411e-05
