dep_lat,dep_lon,arr_lat,arr_lon,nb_flights,CO2
25.2747757,55.3020601,23.0216238,72.5797068,1419,0
25.2747757,55.3020601,12.9791198,77.5912997,2257,0
25.2747757,55.3020601,13.0801721,80.2838331,2718,0
25.2747757,55.3020601,28.6517178,77.2219388,4334,0
25.2747757,55.3020601,15.3004543,74.0855134,184,0
25.2747757,55.3020601,17.41500345,78.41936588,2922,0
25.2747757,55.3020601,26.9161293,75.8204056,574,0
25.2747757,55.3020601,9.9633864,76.2536614,4172,0
25.2747757,55.3020601,22.5677459,88.3476023,496,0
25.2747757,55.3020601,11.2446144,75.7759372,3022,0
25.2747757,55.3020601,26.8381,80.9346001,840,0
25.2747757,55.3020601,-42.6538942,147.2415779,1107,0
25.2747757,55.3020601,18.9321862,72.8308337,6352,0
25.2747757,55.3020601,18.5203062,73.8543185,617,0
25.2747757,55.3020601,8.5058909,76.9570481,2085,0
9,38.75,13.0801721,80.2838331,0,0
9,38.75,28.6517178,77.2219388,763,0
9,38.75,18.9321862,72.8308337,719,0
12.789585,45.028504,18.9321862,72.8308337,42,0
24.2258413,55.7474052,11.2446144,75.7759372,184,0
24.2258413,55.7474052,8.5058909,76.9570481,0,0
43.21984255,76.91835189,28.6517178,77.2219388,520,0
43.21984255,76.91835189,15.3004543,74.0855134,56,0
52.3745403,4.897975506,13.0801721,80.2838331,0,0
52.3745403,4.897975506,28.6517178,77.2219388,2135,0
52.3745403,4.897975506,18.9321862,72.8308337,811,0
36.9008783,30.6937117,28.6517178,77.2219388,2,0
36.9008783,30.6937117,18.9321862,72.8308337,0,0
37.9396678,58.3874263,31.6343083,74.8736788,489,0
37.9396678,58.3874263,28.6517178,77.2219388,201,0
33.3024309,44.3787992,28.6517178,77.2219388,25,0
26.1551249,50.5344606,12.9791198,77.5912997,0,0
26.1551249,50.5344606,13.0801721,80.2838331,1130,0
26.1551249,50.5344606,28.6517178,77.2219388,2087,0
26.1551249,50.5344606,17.41500345,78.41936588,727,0
26.1551249,50.5344606,9.9633864,76.2536614,1045,0
26.1551249,50.5344606,11.2446144,75.7759372,461,0
26.1551249,50.5344606,-42.6538942,147.2415779,182,0
26.1551249,50.5344606,18.9321862,72.8308337,2343,0
26.1551249,50.5344606,8.5058909,76.9570481,859,0
40.3754289,49.8328549,15.3004543,74.0855134,71,0
13.7542529,100.493087,23.0216238,72.5797068,66,0
13.7542529,100.493087,12.9791198,77.5912997,1539,0
13.7542529,100.493087,13.0801721,80.2838331,1652,0
13.7542529,100.493087,28.6517178,77.2219388,6296,0
13.7542529,100.493087,24.7964355,85.0079563,178,0
13.7542529,100.493087,17.41500345,78.41936588,944,0
13.7542529,100.493087,26.9161293,75.8204056,36,0
13.7542529,100.493087,22.5677459,88.3476023,4568,0
13.7542529,100.493087,26.8381,80.9346001,26,0
13.7542529,100.493087,18.9321862,72.8308337,5909,0
13.7542529,100.493087,25.3356491,83.0076292,94,0
30.4952367,47.8090981,28.6517178,77.2219388,40,0
52.4776875,-1.8948516,31.6343083,74.8736788,400,0
52.4776875,-1.8948516,28.6517178,77.2219388,745,0
42.8767446,74.6069949,28.6517178,77.2219388,151,0
25.2747757,55.3020601,28.6517178,77.2219388,400,0
25.2747757,55.3020601,18.9321862,72.8308337,510,0
30.048819,31.243666,18.9321862,72.8308337,254,0
41.8755546,-87.6244212,28.6517178,77.2219388,1260,0
41.8755546,-87.6244212,17.41500345,78.41936588,357,0
22.3307998,91.8412863,22.5677459,88.3476023,736,0
50.938361,6.959974,28.6517178,77.2219388,2,0
50.938361,6.959974,18.9321862,72.8308337,0,0
6.9349969,79.853845,12.9791198,77.5912997,1184,0
6.9349969,79.853845,13.0801721,80.2838331,5961,0
6.9349969,79.853845,28.6517178,77.2219388,1454,0
6.9349969,79.853845,24.7964355,85.0079563,58,0
6.9349969,79.853845,9.9633864,76.2536614,1408,0
6.9349969,79.853845,22.5677459,88.3476023,230,0
6.9349969,79.853845,9.9261153,78.1140983,1273,0
6.9349969,79.853845,18.9321862,72.8308337,2447,0
6.9349969,79.853845,25.2747757,55.3020601,1501,0
6.9349969,79.853845,8.5058909,76.9570481,798,0
6.9349969,79.853845,25.3356491,83.0076292,61,0
26.4367824,50.1039991,12.9791198,77.5912997,52,0
26.4367824,50.1039991,13.0801721,80.2838331,137,0
26.4367824,50.1039991,28.6517178,77.2219388,1911,0
26.4367824,50.1039991,17.41500345,78.41936588,298,0
26.4367824,50.1039991,9.9633864,76.2536614,880,0
26.4367824,50.1039991,11.2446144,75.7759372,1156,0
26.4367824,50.1039991,-42.6538942,147.2415779,379,0
26.4367824,50.1039991,18.9321862,72.8308337,1093,0
26.4367824,50.1039991,8.5058909,76.9570481,866,0
23.7593572,90.3788136,13.0801721,80.2838331,169,0
23.7593572,90.3788136,28.6517178,77.2219388,763,0
23.7593572,90.3788136,22.5677459,88.3476023,3268,0
23.7593572,90.3788136,18.9321862,72.8308337,725,0
25.3014957,51.4996674,23.0216238,72.5797068,948,0
25.3014957,51.4996674,31.6343083,74.8736788,936,0
25.3014957,51.4996674,12.9791198,77.5912997,1587,0
25.3014957,51.4996674,13.0801721,80.2838331,1675,0
25.3014957,51.4996674,28.6517178,77.2219388,3960,0
25.3014957,51.4996674,15.3004543,74.0855134,921,0
25.3014957,51.4996674,17.41500345,78.41936588,1021,0
25.3014957,51.4996674,9.9633864,76.2536614,3506,0
25.3014957,51.4996674,22.5677459,88.3476023,999,0
25.3014957,51.4996674,11.2446144,75.7759372,2258,0
25.3014957,51.4996674,-42.6538942,147.2415779,241,0
25.3014957,51.4996674,18.9321862,72.8308337,3610,0
25.3014957,51.4996674,21.1498134,79.0820556,237,0
25.3014957,51.4996674,8.5058909,76.9570481,1397,0
13.9122207,100.6035314,12.9791198,77.5912997,528,0
13.9122207,100.6035314,13.0801721,80.2838331,449,0
13.9122207,100.6035314,24.7964355,85.0079563,3,0
13.9122207,100.6035314,9.9633864,76.2536614,243,0
13.9122207,100.6035314,22.5677459,88.3476023,74,0
25.2683521,55.2961962,23.0216238,72.5797068,3280,0
25.2683521,55.2961962,31.6343083,74.8736788,1501,0
